s_dis,s_chg,fuel_kg,final_soc
0.7278481012658228,0.5,27.613840583638193,0.19029641811101294
0.5,0.5,27.62549585171567,0.19021948299901442
0.6139240506329113,0.5,27.623335295149044,0.19029644729346493
0.5379746835443038,0.5,27.625942221631913,0.19030703169285948
0.6518987341772152,0.5,27.62073194829654,0.1902710438557859
0.7658227848101267,0.5,27.60894596288297,0.19025364796880334
0.879746835443038,0.5,27.49531613916569,0.1903408983428272
0.689873417721519,0.5,27.617725672097862,0.1901771098259258
0.9556962025316456,0.5,27.43284804240444,0.19041876456749557
0.8037974683544304,0.5,27.597570041385115,0.190223589970719
0.5759493670886076,0.5,27.622836524010403,0.19021129429717204
0.9936708860759493,0.5,27.379417086276028,0.19044839199512306
1.0316455696202533,0.5,27.359956664528728,0.19055312165072272
0.8417721518987342,0.5,27.544180449774924,0.19026771567780706
1.0696202531645569,0.5,27.350158383697774,0.19046384675384043
0.9177215189873418,0.5,27.464950321007112,0.19037123380333068
1.1075949367088609,0.5,27.346911047195288,0.19046914613552618
1.3354430379746836,0.5,27.267055350199154,0.19079273411364808
1.1455696202531644,0.5,27.34235655785582,0.19046933875367345
1.1835443037974684,0.5,27.33652388426565,0.19045383652686093
1.259493670886076,0.5,27.30637133221623,0.19051775578833596
1.2974683544303798,0.5,27.298728373488323,0.190695880000299
1.2215189873417722,0.5,27.328546291432982,0.19052290065681143
1.3734177215189873,0.5,27.245273935821928,0.1909086002921349
1.4113924050632911,0.5,27.199524136920584,0.19094208940148885
1.449367088607595,0.5,27.15904318722603,0.19107476265187684
1.4873417721518987,0.5,27.129568408107144,0.19165287120018704
1.5632911392405064,0.5,26.81175005968847,0.19272611139275264
1.5253164556962027,0.5,27.017444544316792,0.19207058090039134
1.639240506329114,0.5,26.65402231127408,0.19347207913285833
1.6012658227848102,0.5,26.73605839983889,0.19317988862324242
1.6772151898734178,0.5,26.6060963296544,0.19583575188301927
1.7151898734177216,0.5,26.513266856522243,0.1963874271124753
1.7911392405063291,0.5,26.341829382058773,0.19809084838126834
1.7531645569620253,0.5,26.43290642381041,0.19703699150397708
1.8291139240506329,0.5,26.2787024820375,0.199238415166929
1.8670886075949367,0.5,26.47675019573192,0.21140028137391367
1.9050632911392404,0.5,27.575258963375262,0.26997125143756373
1.9810126582278482,0.5,29.973282082713094,0.3935069559168048
2.018987341772152,0.5,30.52237346495734,0.42072622172756546
2.056962025316456,0.5,31.20067755135651,0.4536989669466823
2.0949367088607596,0.5,31.521046942896298,0.46900287259543133
2.132911392405063,0.5,31.867781560018155,0.4852387722888008
1.9430379746835444,0.5,29.393833394899932,0.36415091664235466
2.208860759493671,0.5,33.429757303224285,0.5563763282662967
2.170886075949367,0.5,32.75311571749154,0.525820803164834
2.3227848101265822,0.5,34.79525282773403,0.6161161156983692
2.3607594936708862,0.5,35.02035799090576,0.6257038159238411
2.39873417721519,0.5,35.132946796539514,0.6304687284138089
2.2468354430379747,0.5,33.96256382688908,0.5800158925658713
2.4367088607594938,0.5,35.22118047540913,0.6341592687190921
2.4746835443037973,0.5,35.39694981706327,0.6413312930404405
2.5126582278481013,0.5,35.90515948379595,0.6615428470790962
2.2848101265822782,0.5,34.35920508464508,0.59732182475083
2.588607594936709,0.5,36.367400908456055,0.6802749814289829
2.5506329113924053,0.5,36.22346960070295,0.6746410063547628
2.626582278481013,0.5,36.553704250606344,0.6874280353289522
2.6645569620253164,0.5,36.665398558536715,0.6920197292128906
2.7025316455696204,0.5,36.75571385917704,0.6960200420129806
2.740506329113924,0.5,36.774849381981774,0.6967673481699466
2.778481012658228,0.5,36.79045018896311,0.697366830965827
2.8164556962025316,0.5,36.80044079711099,0.6977808124866401
2.892405063291139,0.5,36.812472475583704,0.698327488411453
2.8544303797468356,0.5,36.80625666120183,0.6980345476828707
3.0063291139240507,0.5,36.82886097466465,0.6990701583305842
