k_slope,fuel_kg,final_soc,equiv_fuel_kg
0.0,35.143723260392996,0.5014555032297588,35.10690614665542
0.041666666666666664,35.143723260392996,0.5014555032297588,35.10690614665542
0.08333333333333333,35.143723260392996,0.5014555032297588,35.10690614665542
0.125,35.143723260392996,0.5014555032297588,35.10690614665542
0.16666666666666666,35.143723260392996,0.5014555032297588,35.10690614665542
0.20833333333333331,35.143723260392996,0.5014555032297588,35.10690614665542
0.25,35.143723260392996,0.5014555032297588,35.10690614665542
0.29166666666666663,35.143723260392996,0.5014555032297588,35.10690614665542
0.3333333333333333,35.143723260392996,0.5014555032297588,35.10690614665542
0.375,35.143723260392996,0.5014555032297588,35.10690614665542
0.41666666666666663,35.143723260392996,0.5014555032297588,35.10690614665542
0.4583333333333333,35.143723260392996,0.5014555032297588,35.10690614665542
0.5,35.143723260392996,0.5014555032297588,35.10690614665542
0.5416666666666666,35.143723260392996,0.5014555032297588,35.10690614665542
0.5833333333333333,35.143723260392996,0.5014555032297588,35.10690614665542
0.625,35.143723260392996,0.5014555032297588,35.10690614665542
0.6666666666666666,35.143723260392996,0.5014555032297588,35.10690614665542
0.7083333333333333,35.143723260392996,0.5014555032297588,35.10690614665542
0.75,35.143723260392996,0.5014555032297588,35.10690614665542
0.7916666666666666,35.143723260392996,0.5014555032297588,35.10690614665542
0.8333333333333333,35.143723260392996,0.5014555032297588,35.10690614665542
0.875,35.143723260392996,0.5014555032297588,35.10690614665542
0.9166666666666666,35.143723260392996,0.5014555032297588,35.10690614665542
0.9583333333333333,35.143723260392996,0.5014555032297588,35.10690614665542
1.0,35.143723260392996,0.5014555032297588,35.10690614665542
