Cycle,Capacity_kWh,Strategy,Fuel_kg
LongHaulEMSReferenceLoad,120.0,DP,27.97962205156508
LongHaulEMSReferenceLoad,120.0,ECMS,27.9845054461914
LongHaulEMSReferenceLoad,120.0,AECMS,28.606411928788145
LongHaulEMSReferenceLoad,120.0,PECMS,28.217130118937376
RegionalDeliveryEMSReferenceLoad,120.0,DP,28.382420315744213
RegionalDeliveryEMSReferenceLoad,120.0,ECMS,28.290432287396285
RegionalDeliveryEMSReferenceLoad,120.0,AECMS,28.75789557766617
RegionalDeliveryEMSReferenceLoad,120.0,PECMS,28.682222080392197
