kp_dis,kp_chg,fuel,dev
0.5,0.01,34.62143908966121,38.2169748652047
0.5,1.0621052631578947,33.94907261485728,34.60019935789234
0.5,2.114210526315789,33.56613682150061,32.49769720578319
0.5,3.1663157894736838,33.220241696558354,30.364687300498368
0.5,4.218421052631578,32.950041149004875,28.70180429758636
0.5,5.270526315789473,32.75293022236677,27.487488494475738
0.5,6.322631578947368,32.63480344960727,26.633688756804546
0.5,7.374736842105262,32.52067113015851,25.767856138104513
0.5,8.426842105263157,32.413682538970015,24.99388116453823
0.5,9.478947368421052,32.344044079775706,24.457034645161617
0.5,10.531052631578946,32.283109445650325,23.934801895794262
0.5,11.583157894736841,32.25494044193938,23.64986056579262
0.5,12.635263157894736,32.2031827310464,23.20358134559916
0.5,13.68736842105263,32.16825834630128,22.850720730845914
0.5,14.739473684210525,32.14256139010374,22.66306719584495
0.5,15.79157894736842,32.124468097550356,22.50244559172911
0.5,16.843684210526316,32.09778630161961,22.32947642396374
0.5,17.89578947368421,32.09328203655177,22.30354410062822
0.5,18.947894736842105,32.075816745213686,22.210013299984738
0.5,20.0,32.06719509494438,22.160605242143333
2.052631578947368,0.01,29.588362040328676,14.654596427159412
2.052631578947368,1.0621052631578947,29.637295231336765,14.526389889620061
2.052631578947368,2.114210526315789,29.65778478054383,14.484234375846366
2.052631578947368,3.1663157894736838,29.676738439508856,14.449287051707731
2.052631578947368,4.218421052631578,29.699770354027834,14.405382230944392
2.052631578947368,5.270526315789473,29.738411609106787,14.316628118115238
2.052631578947368,6.322631578947368,29.778373684229603,14.301360673386249
2.052631578947368,7.374736842105262,29.806923436991728,14.271140695070738
2.052631578947368,8.426842105263157,29.84306372782562,14.26298748721152
2.052631578947368,9.478947368421052,29.887425090690627,14.260125866407375
2.052631578947368,10.531052631578946,29.923880015315127,14.237405181424133
2.052631578947368,11.583157894736841,29.954257516414145,14.185043138175757
2.052631578947368,12.635263157894736,29.969167697969638,14.089899088316148
2.052631578947368,13.68736842105263,29.9823335005905,14.02386021330974
2.052631578947368,14.739473684210525,29.992215323866027,13.990755167928343
2.052631578947368,15.79157894736842,29.996782017369956,13.943484457833966
2.052631578947368,16.843684210526316,30.00710337820628,13.911449798444464
2.052631578947368,17.89578947368421,30.014453330651357,13.853816646521617
2.052631578947368,18.947894736842105,30.02085222775122,13.779884603216846
2.052631578947368,20.0,30.039030377470805,13.744574136594496
3.6052631578947367,0.01,28.35514721152984,8.689534253846547
3.6052631578947367,1.0621052631578947,28.401511685365833,8.610473331713415
3.6052631578947367,2.114210526315789,28.422238746162062,8.60347425243489
3.6052631578947367,3.1663157894736838,28.432977779609338,8.568717329387926
3.6052631578947367,4.218421052631578,28.441665039900226,8.556044487740666
3.6052631578947367,5.270526315789473,28.45225887195438,8.537780310531362
3.6052631578947367,6.322631578947368,28.467655744807967,8.522825661460082
3.6052631578947367,7.374736842105262,28.495385601621454,8.493081823742015
3.6052631578947367,8.426842105263157,28.52465964964877,8.428767944564747
3.6052631578947367,9.478947368421052,28.560734012749577,8.418324331513888
3.6052631578947367,10.531052631578946,28.59414587673917,8.41203290940617
3.6052631578947367,11.583157894736841,28.627640083594255,8.413326346123279
3.6052631578947367,12.635263157894736,28.656671224865637,8.407307613674375
3.6052631578947367,13.68736842105263,28.68309904704647,8.40934204241579
3.6052631578947367,14.739473684210525,28.700877040288347,8.4060290815199
3.6052631578947367,15.79157894736842,28.720829911004795,8.405668018989342
3.6052631578947367,16.843684210526316,28.741505557392994,8.404802150246837
3.6052631578947367,17.89578947368421,28.759835990742793,8.406453999570923
3.6052631578947367,18.947894736842105,28.77747183769254,8.40746306323804
3.6052631578947367,20.0,28.79050725381491,8.406226987691051
5.157894736842105,0.01,27.875925048484447,6.334163317171742
5.157894736842105,1.0621052631578947,27.91439300282294,6.245750807499056
5.157894736842105,2.114210526315789,27.926237990124683,6.220147251367053
5.157894736842105,3.1663157894736838,27.937403299708567,6.204698507174017
5.157894736842105,4.218421052631578,27.945301414106318,6.190945266321202
5.157894736842105,5.270526315789473,27.952266883901167,6.181504009115879
5.157894736842105,6.322631578947368,27.959712357279297,6.179305524822265
5.157894736842105,7.374736842105262,27.96899491149277,6.169261465574594
5.157894736842105,8.426842105263157,27.97893304732473,6.160048231626892
5.157894736842105,9.478947368421052,27.998094966591253,6.150171412369831
5.157894736842105,10.531052631578946,28.017899643240206,6.095277324018117
5.157894736842105,11.583157894736841,28.05977762923413,6.075959355003779
5.157894736842105,12.635263157894736,28.087275758575476,6.0594721860868175
5.157894736842105,13.68736842105263,28.110224615915,6.049280646298715
5.157894736842105,14.739473684210525,28.14218445940919,6.045390767097031
5.157894736842105,15.79157894736842,28.168480521559136,6.042351784089817
5.157894736842105,16.843684210526316,28.18522612061145,6.033960159753077
5.157894736842105,17.89578947368421,28.205307007932866,6.034230857873446
5.157894736842105,18.947894736842105,28.218482289634395,6.033834497751123
5.157894736842105,20.0,28.232028915766595,6.036028802277615
6.7105263157894735,0.01,27.618539297434825,5.044921883497477
6.7105263157894735,1.0621052631578947,27.654476077483455,4.962926170548975
6.7105263157894735,2.114210526315789,27.664831630230005,4.950795217933646
6.7105263157894735,3.1663157894736838,27.676165073079197,4.939045217852772
6.7105263157894735,4.218421052631578,27.681350238575313,4.912967278252589
6.7105263157894735,5.270526315789473,27.688731181466373,4.90423013473536
6.7105263157894735,6.322631578947368,27.69623532116666,4.901803621047712
6.7105263157894735,7.374736842105262,27.702467433396823,4.899110186358518
6.7105263157894735,8.426842105263157,27.710058114320894,4.898285353590381
6.7105263157894735,9.478947368421052,27.71692855704226,4.893587990871073
6.7105263157894735,10.531052631578946,27.727658747986737,4.885463661154432
6.7105263157894735,11.583157894736841,27.742254651882718,4.8728724935980905
6.7105263157894735,12.635263157894736,27.758942658826587,4.849945581029324
6.7105263157894735,13.68736842105263,27.781058691063915,4.820689966561803
6.7105263157894735,14.739473684210525,27.813021544810155,4.793450042191632
6.7105263157894735,15.79157894736842,27.839675126113463,4.790868260312386
6.7105263157894735,16.843684210526316,27.861548188895515,4.789238757811903
6.7105263157894735,17.89578947368421,27.88575747657881,4.784954608485331
6.7105263157894735,18.947894736842105,27.904549328125924,4.779104551550101
6.7105263157894735,20.0,27.92222169361258,4.77554619470294
8.263157894736842,0.01,27.460868341119383,4.229612834502755
8.263157894736842,1.0621052631578947,27.498370695835032,4.168638521280476
8.263157894736842,2.114210526315789,27.50552669794807,4.15764436069192
8.263157894736842,3.1663157894736838,27.51667851825606,4.154606291988583
8.263157894736842,4.218421052631578,27.525262156232376,4.147485623275288
8.263157894736842,5.270526315789473,27.532089245173104,4.133723997282096
8.263157894736842,6.322631578947368,27.539250353315754,4.127198743879839
8.263157894736842,7.374736842105262,27.54579895848887,4.125002586367393
