kp_dis,kp_chg,fuel,dev,final_soc,soc_err_pct
5.0,0.42625,30.044286089707562,10.247793258405785,0.40247793258405784,10.247793258405785
5.0,0.01,30.04416973650163,10.258783308924258,0.40258783308924256,10.258783308924258
5.0,2.5075,30.0363207859871,10.15052417139522,0.4015052417139522,10.15052417139522
5.0,0.8425,30.042663134475504,10.232381520939416,0.40232381520939414,10.232381520939416
5.0,2.92375,30.036339840280743,10.145991563698676,0.40145991563698674,10.145991563698676
5.0,1.25875,30.038629538072033,10.200554116352755,0.40200554116352755,10.200554116352755
5.0,3.7562499999999996,30.036848958477375,10.13667134118797,0.4013667134118797,10.13667134118797
5.0,1.675,30.03497493854846,10.166024068223638,0.4016602406822364,10.166024068223638
5.0,2.0912499999999996,30.036373979939476,10.15883565360593,0.4015883565360593,10.15883565360593
5.0,4.172499999999999,30.037994414690846,10.131963031876811,0.4013196303187681,10.131963031876811
5.0,3.34,30.036367346045253,10.142178623026032,0.4014217862302603,10.142178623026032
5.0,4.58875,30.038293468067486,10.128934449110826,0.40128934449110826,10.128934449110826
5.0,5.005,30.038594626454945,10.11080532659876,0.4011080532659876,10.11080532659876
5.0,5.42125,30.039981559719674,10.099143475877264,0.40099143475877264,10.099143475877264
5.0,6.25375,30.04237973806447,10.01448330862641,0.4001448330862641,10.01448330862641
5.0,7.08625,30.05106106901117,9.931134108774614,0.39931134108774613,9.931134108774614
5.0,7.5024999999999995,30.05649448853386,9.904556415134158,0.39904556415134157,9.904556415134158
5.0,5.8375,30.040357673093823,10.054446554001489,0.4005444655400149,10.054446554001489
5.0,7.91875,30.064365780807062,9.891551967235607,0.39891551967235606,9.891551967235607
5.0,6.67,30.04494563439315,9.935189830081082,0.3993518983008108,9.935189830081082
5.0,9.1675,30.082784134422035,9.868848299703876,0.39868848299703874,9.868848299703876
5.0,8.75125,30.07608217083482,9.873053547514472,0.3987305354751447,9.873053547514472
5.0,8.334999999999999,30.07045794233244,9.878027346254992,0.3987802734625499,9.878027346254992
5.0,9.58375,30.088153030715674,9.864440333516649,0.3986444033351665,9.864440333516649
6.271186440677966,0.01,29.67272237092612,8.382300859499242,0.3838230085949924,8.382300859499242
5.0,10.0,30.097324369619876,9.865779576439571,0.3986577957643957,9.865779576439571
6.271186440677966,0.8425,29.671765627696562,8.360835140000095,0.38360835140000094,8.360835140000095
6.271186440677966,0.42625,29.672955283219927,8.37264567384121,0.3837264567384121,8.37264567384121
6.271186440677966,1.25875,29.669291654381595,8.339354729921217,0.38339354729921216,8.339354729921217
6.271186440677966,2.0912499999999996,29.667015138045535,8.300957302512707,0.38300957302512706,8.300957302512707
6.271186440677966,1.675,29.666543231796503,8.311935390535224,0.38311935390535223,8.311935390535224
6.271186440677966,3.34,29.668384155461567,8.291264787728537,0.38291264787728535,8.291264787728537
6.271186440677966,2.5075,29.667902254836587,8.298473548110064,0.3829847354811006,8.298473548110064
6.271186440677966,2.92375,29.668481642437015,8.295590440141465,0.38295590440141464,8.295590440141465
6.271186440677966,3.7562499999999996,29.66779802301257,8.284274142511428,0.38284274142511426,8.284274142511428
6.271186440677966,4.172499999999999,29.668109443840272,8.280633829791773,0.3828063382979177,8.280633829791773
6.271186440677966,4.58875,29.66883698774654,8.275676115883373,0.3827567611588337,8.275676115883373
6.271186440677966,5.005,29.668954649444572,8.26767026678803,0.3826767026678803,8.26767026678803
6.271186440677966,5.8375,29.66914954426095,8.257001860243934,0.38257001860243933,8.257001860243934
6.271186440677966,5.42125,29.669033180196173,8.26315346107278,0.3826315346107278,8.26315346107278
6.271186440677966,7.08625,29.67577731846772,8.207853421933414,0.38207853421933413,8.207853421933414
6.271186440677966,6.67,29.671891539520654,8.230401161224238,0.38230401161224237,8.230401161224238
6.271186440677966,6.25375,29.669760473720846,8.242286429257362,0.3824228642925736,8.242286429257362
6.271186440677966,8.334999999999999,29.68632219664974,8.102744942558548,0.3810274494255855,8.102744942558548
6.271186440677966,7.5024999999999995,29.675856355870014,8.168479408752304,0.38168479408752304,8.168479408752304
6.271186440677966,7.91875,29.68324157823379,8.15528082648666,0.3815528082648666,8.15528082648666
6.271186440677966,8.75125,29.693560021710642,8.101308811828762,0.3810130881182876,8.101308811828762
6.271186440677966,9.1675,29.70125459373049,8.09592310742892,0.3809592310742892,8.09592310742892
6.271186440677966,9.58375,29.705017777531932,8.071588936958097,0.38071588936958095,8.071588936958097
6.271186440677966,10.0,29.707996992709674,8.061264601350004,0.38061264601350003,8.061264601350004
7.5423728813559325,0.42625,29.422149454435658,7.109944102067328,0.37109944102067327,7.109944102067328
7.5423728813559325,2.0912499999999996,29.419767209120682,7.061834251554133,0.3706183425155413,7.061834251554133
7.5423728813559325,1.675,29.419803839595055,7.073733580274339,0.3707373358027434,7.073733580274339
7.5423728813559325,0.01,29.421939384705,7.116923671263637,0.37116923671263635,7.116923671263637
7.5423728813559325,0.8425,29.42148450492538,7.1001999977394314,0.3710019999773943,7.1001999977394314
7.5423728813559325,1.25875,29.42069477420445,7.0912113871864415,0.3709121138718644,7.0912113871864415
7.5423728813559325,2.5075,29.419493871558977,7.052045919418582,0.3705204591941858,7.052045919418582
7.5423728813559325,2.92375,29.42031109949794,7.050011773137782,0.3705001177313778,7.050011773137782
7.5423728813559325,3.34,29.419949587554566,7.0432464418394405,0.3704324644183944,7.0432464418394405
7.5423728813559325,3.7562499999999996,29.42072293178601,7.0423175768887685,0.37042317576888767,7.0423175768887685
7.5423728813559325,4.58875,29.420351177076153,7.032994875291088,0.37032994875291086,7.032994875291088
7.5423728813559325,4.172499999999999,29.420460614351096,7.03770444366199,0.3703770444366199,7.03770444366199
7.5423728813559325,5.42125,29.421683378322264,7.027746686682584,0.37027746686682583,7.027746686682584
7.5423728813559325,5.005,29.42121362424807,7.03236028049809,0.3703236028049809,7.03236028049809
7.5423728813559325,6.25375,29.42269609546634,7.022704656879358,0.37022704656879357,7.022704656879358
7.5423728813559325,5.8375,29.42184461685163,7.021939219091294,0.37021939219091293,7.021939219091294
7.5423728813559325,6.67,29.422511048346177,7.018148354181008,0.3701814835418101,7.018148354181008
7.5423728813559325,7.08625,29.42248883582992,7.010763280638082,0.3701076328063808,7.010763280638082
7.5423728813559325,7.5024999999999995,29.424161119965465,6.999430100552889,0.3699943010055289,6.999430100552889
7.5423728813559325,7.91875,29.42729734243787,6.991210480211585,0.36991210480211584,6.991210480211585
7.5423728813559325,8.334999999999999,29.432075904689203,6.973526635687871,0.3697352663568787,6.973526635687871
7.5423728813559325,8.75125,29.43195966453742,6.945615514577963,0.3694561551457796,6.945615514577963
7.5423728813559325,9.1675,29.437419830292775,6.925051460462478,0.36925051460462477,6.925051460462478
7.5423728813559325,9.58375,29.442840919566056,6.912465870213513,0.3691246587021351,6.912465870213513
8.813559322033898,0.42625,29.24269882959759,6.205464866218646,0.36205464866218645,6.205464866218646
8.813559322033898,0.01,29.243274839886748,6.214371188022944,0.3621437118802294,6.214371188022944
7.5423728813559325,10.0,29.44433437611867,6.870934332250867,0.36870934332250865,6.870934332250867
8.813559322033898,0.8425,29.242631344474646,6.197756735160681,0.3619775673516068,6.197756735160681
8.813559322033898,1.25875,29.24283403572501,6.193634726980962,0.3619363472698096,6.193634726980962
8.813559322033898,1.675,29.24301465020711,6.184148619885576,0.36184148619885576,6.184148619885576
8.813559322033898,2.0912499999999996,29.24306343691388,6.176079127784778,0.36176079127784777,6.176079127784778
8.813559322033898,2.5075,29.242276741900064,6.162891784126301,0.361628917841263,6.162891784126301
8.813559322033898,2.92375,29.242387831876588,6.157439777544488,0.36157439777544487,6.157439777544488
